"Geslacht","Persoonskenmerken","Onderwijssoort","Arbeidsmarktpositie","Startkwalificatie op peilmoment","Peilmoment","Perioden","Schoolverlaters (aantal)","Voortijdig schoolverlaters (aantal)","Schoolverlaters met startkwalificatie (aantal)"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Totaal schoolverlaters","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Met startkwalificatie","Direct na verlaten onderwijs","2022/'23","69.420","","69.420"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Met startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Met startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Met startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Met startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Met startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Met startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Zonder startkwalificatie","Direct na verlaten onderwijs","2022/'23","22.490","22.490",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Zonder startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Zonder startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Zonder startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Zonder startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Zonder startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Zonder startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Startkwalificatie onbekend","Direct na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Startkwalificatie onbekend","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Startkwalificatie onbekend","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Startkwalificatie onbekend","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Startkwalificatie onbekend","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Startkwalificatie onbekend","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, zonder uitkering","Startkwalificatie onbekend","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Totaal schoolverlaters","Direct na verlaten onderwijs","2022/'23","1.490","680","810"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Totaal schoolverlaters","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Totaal schoolverlaters","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Totaal schoolverlaters","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Totaal schoolverlaters","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Totaal schoolverlaters","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Totaal schoolverlaters","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Met startkwalificatie","Direct na verlaten onderwijs","2022/'23","810","","810"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Met startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Met startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Met startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Met startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Met startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Met startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Zonder startkwalificatie","Direct na verlaten onderwijs","2022/'23","680","680",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Zonder startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Zonder startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Zonder startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Zonder startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Zonder startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Zonder startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Startkwalificatie onbekend","Direct na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Startkwalificatie onbekend","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Startkwalificatie onbekend","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Startkwalificatie onbekend","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Startkwalificatie onbekend","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Startkwalificatie onbekend","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Met werk, met uitkering","Startkwalificatie onbekend","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Totaal schoolverlaters","Direct na verlaten onderwijs","2022/'23","2.730","1.940","790"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Totaal schoolverlaters","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Totaal schoolverlaters","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Totaal schoolverlaters","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Totaal schoolverlaters","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Totaal schoolverlaters","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Totaal schoolverlaters","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Met startkwalificatie","Direct na verlaten onderwijs","2022/'23","790","","790"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Met startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Met startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Met startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Met startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Met startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Met startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Zonder startkwalificatie","Direct na verlaten onderwijs","2022/'23","1.940","1.940",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Zonder werk, met uitkering","Zonder startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Bron: CBS."
